Species,r (µm),2d (µm),(r + d)/r,N,P1_P8,r (µm),2d (µm),(r + d)/r,N
Bubo bubo,,,,,p8,,,,
Buteo buteo,53,313,4,2,p8,,,,
Buteo lagopus,55,262,3.4,1,p8,,,,
Carduelis cannabina,,,,,p8,,,,
Carduelis carduelis,10,214,11.7,1,p8,,,,
Carduelis chloris,13.5,222,9.2,2,p8,,,,
Carduelis spinus,13,212,9.2,2,p8,,,,
Carpodacus erythrinus,,,,,p8,,,,
Cecropis daurica,,,,,p8,,,,
Certhia familiaris,,,,,p8,,,,
Chroicocephalus ridibundus,,,,,p8,,,,
Cinclus cinclus,,,,,p8,,,,
Circaetus gallicus,,,,,p8,,,,
Circus cyaneus,,,,,p8,,,,
Coccothraustes coccothraustes,21,208,6,1,p8,,,,
Columba livia,19,282,8.4,2,p8,,,,
Coracias garrulus,,,,,p8,,,,
Corvus frugilegus,,,,,p8,,,,
Corvus monedula,13,330,13.7,1,p8,,,,
Crex crex,,,,,p8,,,,
Cuculus canorus,,,,,p8,,,,
Cyanistes caeruleus,23,232,6,1,p8,,,,
Delichon urbicum,,,,,p8,,,,
Dendrocopos major,,,,,p8,,,,
Dendrocopos syriacus,27,244,5.5,1,p8,,,,
Dryocopus martius,,,,,p8,,,,
Egretta alba,,,,,p8,,,,
Emberiza citrinella,,,,,p8,,,,
Emberiza schoeniclus,,,,,p8,,,,
Erithacus rubecula,14,234,9.4,2,p8,,,,
Falco peregrinus,15,292,10.7,1,p8,,,,
Falco subbuteo,,,,,p8,,,,
Falco tinnunculus,13,258,10.9,1,p8,,,,
Falco vespertinus,,,,,p8,,,,
Ficedula albicollis,13,241,10.3,2,p8,,,,
Ficedula hypoleuca,12,230,10.6,1,p8,,,,
Fringilla coelebs,19.5,224,6.7,2,p8,,,,
Fringilla montifringilla,15,206,7.9,1,p8,,,,
Fulica atra,,,,,p8,,,,
Gallinago gallinago,15,284,10.5,1,p8,,,,
Gallinula chloropus,18.5,297,9,2,p8,,,,
Garrulus glandarius,31.5,289,5.6,2,p8,,,,
Gavia arctica,,,,,p8,,,,
Hippolais icterina,,,,,p8,,,,
Hirundo rustica,,,,,p8,,,,
Ixobrychus minutus,,,,,p8,,,,
Jynx torquilla,,,,,p8,,,,
Lanius collurio,14,214,8.6,1,p8,,,,
Lanius minor,,,,,p8,,,,
Locustella luscinioides,,,,,p8,,,,
Luscinia luscinia,,,,,p8,,,,
Luscinia megarhynchos,14,276,10.9,2,p8,,,,
Merops apiaster,17,322,10.5,1,p8,,,,
Motacilla alba,,,,,p8,,,,
Motacilla cinerea,14,222,8.9,1,p8,,,,
Motacilla flava,,,,,p8,,,,
Muscicapa striata,14,242,9.6,1,p8,,,,
Netta rufina,,,,,p8,,,,
Otus scops,,,,,p8,,,,
Panurus biarmicus,,,,,p8,,,,
Parus major,,,,,p8,,,,
Passer domesticus,16.5,219,7.6,2,p8,,,,
Passer hispaniolensis,,,,,p8,,,,
Passer montanus,16,206,7.4,2,p8,,,,
Perdix perdix,,,,,p8,,,,
Periparus ater,,,,,p8,,,,
Phalacrocorax carbo,35,334,5.8,1,p8,,,,
Phalacrocorax pygmeus,,,,,p8,,,,
Phasianus colchicus,16,210,7.6,1,p8,,,,
Phoenicurus ochruros,17.5,231,7.6,2,p8,,,,
Phoenicurus phoenicurus,14,218,8.8,1,p8,,,,
Phylloscopus collybita,,,,,p8,,,,
Phylloscopus sibilatrix,,,,,p8,,,,
Pica pica,33,274,5.2,1,p8,,,,
Picus viridis,,,,,p8,,,,
Podiceps cristatus,,,,,p8,,,,
Poecile montanus,,,,,p8,,,,
Poecile palustris,16,204,7.4,1,p8,,,,
Porzana parva,,,,,p8,,,,
Prunella modularis,15,196,7.5,2,p8,,,,
Pyrhulla pyrhulla,15.5,230,8.4,2,p8,,,,
Rallus aquaticus,18,272,8.6,1,p8,,,,
Regulus ignicapillus,,,,,p8,,,,
Regulus regulus,14,200,8.1,1,p8,,,,
Remiz pendulinus,,,,,p8,,,,
Riparia riparia,,,,,p8,,,,
Saxicola rubetra,13,210,9.1,1,p8,,,,
Saxicola rubicola,,,,,p8,,,,
Scolopax rusticola,15,330,12,1,p8,,,,
Sitta europaea,23.5,254,6.4,2,p8,,,,
Sterna hirundo,,,,,p8,,,,
Streptopelia decaocto,,,,,p8,,,,
Strix aluco,,,,,p8,,,,
Strix uralensis,,,,,p8,,,,
Sturnus vulgaris,10,132,7.6,1,p8,,,,
Sylvia atricapilla,14,222,8.9,1,p8,,,,
Sylvia borin,,,,,p8,,,,
Sylvia communis,,,,,p8,,,,
Sylvia curruca,19,224,6.9,1,p8,,,,
Sylvia nisoria,,,,,p8,,,,
