"","order","family","genus","species","iucn2020_binomial","phylacine_binomial","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","binomial_name","log_body_mass","picky","herbivore","carnivore","picky_herb","picky_carn"
"1417","Rodentia","Cricetidae","Mesocricetus","newtoni","Mesocricetus newtoni","Mesocricetus newtoni",105,1.404,180,NA,3650,48,48,48,64,16,NA,8.69,3.75,50.325,2.33,20.505,22.93,672.185,0.307,NA,0,1,NA,NA,0,10,90,0,10,0,0,0,0,30,0,30,30,3,2,"G",1,0,0,1,0,460,0,460,0,"Occurs on mainland",0,0,"Palearctic",3,"mesocricetus_newtoni",-2.25379492882461,0,0,0,0,0
"1418","Rodentia","Cricetidae","Mesocricetus","raddei","Mesocricetus raddei","Mesocricetus raddei",105,1.284,180,NA,3650,48,48,48,64,16,NA,8.79,3,49.6,2.33,20.505,22.93,690.26,0.307,NA,0,1,NA,NA,0,10,90,0,10,0,0,0,0,30,0,30,30,3,1,"G",1,0,0,1,0,2300,1600,700,NA,"Occurs on mainland",NA,NA,"Palearctic",2,"mesocricetus_raddei",-2.25379492882461,0,0,0,0,0
"1419","Chiroptera","Phyllostomidae","Mesophylla","macconnelli","Mesophylla macconnelli","Mesophylla macconnelli",6.86,0.344,52,31.62,5887.196,NA,354.706,NA,485.692,115.414,NA,0.99,1.896,247.764,NA,42.038,NA,2114.569,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,90,0,0,0,1,1,"Ar",1,0,0,0,1,1100,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",1,"mesophylla_macconnelli",-4.98204783724434,1,0,0,1,1
"1420","Cetartiodactyla","Ziphiidae","Mesoplodon","bidens","Mesoplodon bidens","Mesoplodon bidens",2350000,1924.44,4965,NA,14384.888,NA,3371.852,NA,3652.945,365.232,NA,1,0.474,809.728,NA,365.116,NA,7035.889,NA,NA,0,1,NA,NA,80,20,0,80,0,0,20,0,0,0,0,0,0,2,3,"M",2,0,1,0,0,NA,NA,NA,NA,"Exclusively marine",NA,NA,"Nearctic, Palearctic",1,"mesoplodon_bidens",7.7621706071382,0,0,1,0,2
"1421","Cetartiodactyla","Ziphiidae","Mesoplodon","densirostris","Mesoplodon densirostris","Mesoplodon densirostris",1070000,1463,4740,NA,9855,3788.23,3287.169,3287.25,3528.865,357.564,NA,1,0.439,907.014,60000,436.754,NA,6677.083,NA,NA,0,1,NA,NA,80,20,0,80,0,0,20,0,0,0,0,0,0,2,3,"M",2,0,1,0,0,NA,NA,NA,NA,"Exclusively marine",NA,NA,"Afrotropical, Australasian, Indomalayan, Nearctic, Neotropical, Oceanian, Palearctic",1,"mesoplodon_densirostris",6.97541392745595,0,0,1,0,2
"1422","Cetartiodactyla","Ziphiidae","Mesoplodon","europaeus","Mesoplodon europaeus","Mesoplodon europaeus",5600000,2149,6705,NA,17520,NA,3491.886,NA,3856.08,362.319,NA,0.994,0.351,1109.743,NA,456.755,NA,7883.049,NA,NA,0,1,NA,NA,80,20,0,80,0,0,20,0,0,0,0,0,0,2,3,"M",2,0,1,0,0,NA,NA,NA,NA,"Exclusively marine",NA,NA,"Afrotropical, Nearctic, Neotropical, Palearctic",1,"mesoplodon_europaeus",8.63052187672324,0,0,1,0,2
"1423","Cetartiodactyla","Ziphiidae","Mesoplodon","ginkgodens","Mesoplodon ginkgodens","Mesoplodon ginkgodens",1500000,1853.761,5040,NA,12645.505,NA,3332.36,NA,3589.272,355.629,NA,0.997,0.434,878.204,NA,422.873,NA,6931.018,NA,NA,0,1,NA,NA,80,20,0,80,0,0,20,0,0,0,0,0,0,2,3,"M",2,0,1,0,0,NA,NA,NA,NA,"Exclusively marine",NA,NA,NA,NA,"mesoplodon_ginkgodens",7.3132203870903,0,0,1,0,2
"1424","Cetartiodactyla","Ziphiidae","Mesoplodon","grayi","Mesoplodon grayi","Mesoplodon grayi",2900000,1294.857,3900,NA,12139.365,NA,2077.394,NA,2316.591,329.376,NA,1,0.763,365,NA,364.754,NA,5512.958,NA,NA,0,1,NA,NA,80,20,0,80,0,0,20,0,0,0,0,0,0,2,3,"M",3,0,1,0,0,NA,NA,NA,NA,"Exclusively marine",NA,NA,"Afrotropical, Antarctic, Australasian, Neotropical",1,"mesoplodon_grayi",7.97246601597457,0,0,1,0,2
"1425","Cetartiodactyla","Ziphiidae","Mesoplodon","peruvianus","Mesoplodon peruvianus","Mesoplodon peruvianus",1060000,1245.674,3719.99,NA,11968.801,NA,2951.323,NA,3058.139,340.721,NA,1.001,0.508,745.519,NA,382.616,NA,6184.788,NA,NA,0,1,NA,NA,80,20,0,80,0,0,20,0,0,0,0,0,0,2,3,"M",2,0,1,0,0,NA,NA,NA,NA,"Exclusively marine",NA,NA,"Nearctic, Neotropical",1,"mesoplodon_peruvianus",6.96602418710611,0,0,1,0,2
"1426","Cetartiodactyla","Ziphiidae","Mesoplodon","stejnegeri","Mesoplodon stejnegeri","Mesoplodon stejnegeri",1930000,2281.588,5396.8,NA,14592.562,NA,3400.746,NA,3724.597,365.256,NA,1,0.37,1070.204,106906.53,466.518,NA,7500.256,NA,NA,0,1,NA,NA,80,20,0,80,0,0,20,0,0,0,0,0,0,2,3,"M",2,0,1,0,0,NA,NA,NA,NA,"Exclusively marine",NA,NA,"Nearctic, Palearctic",NA,"mesoplodon_stejnegeri",7.56527528189893,0,0,1,0,2
