"","order","family","genus","species","iucn2020_binomial","phylacine_binomial","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","binomial_name","log_body_mass","picky","herbivore","carnivore","picky_herb","picky_carn"
"159","Carnivora","Otariidae","Arctocephalus","pusillus","Arctocephalus pusillus","Arctocephalus pusillus",127551,382.673,2119.665,NA,11716.5,1698.17,1294.443,1643,1095,357.83,NA,1,1,364.75,5955.56,354,26150,3587.767,NA,NA,0,1,NA,NA,30,70,0,30,0,0,70,0,0,0,0,0,0,2,3,"M",1,0,1,1,0,50,NA,NA,NA,"Occurs on mainland",NA,NA,"Afrotropical, Australasian",4,"arctocephalus_pusillus",4.84851628461981,0,0,1,0,2
"160","Carnivora","Otariidae","Arctocephalus","townsendi","Arctocephalus townsendi","Arctocephalus townsendi",101063.71,339.795,1704.41,NA,11169,1824.111,1095.348,2552.875,1341.728,246.38,NA,1,1,364.75,4574.855,330,18583.3,3650,NA,NA,0,1,NA,NA,30,70,0,30,0,0,70,0,0,0,0,0,0,2,3,"M",1,0,1,1,0,5,0,5,NA,"Occurs on mainland",NA,NA,"Nearctic",4,"arctocephalus_townsendi",4.61575111005477,0,0,1,0,2
"161","Carnivora","Otariidae","Arctocephalus","tropicalis","Arctocephalus tropicalis","Arctocephalus tropicalis",71111.275,337.995,1210.08,NA,8395,1538.68,1538.68,NA,1838.025,357.623,NA,1.2,1.05,364.75,4383.705,272.08,14866.64,3913.168,NA,NA,0,1,NA,NA,60,40,0,60,0,0,40,0,0,0,0,0,0,2,2,"M",2,0,1,1,0,50,NA,NA,NA,"Occurs only on isolated islands",NA,NA,"Afrotropical, Antarctic, Australasian, Neotropical",4,"arctocephalus_tropicalis",4.26424590370234,0,0,1,0,2
"162","Carnivora","Viverridae","Arctogalidia","trivirgata","Arctogalidia trivirgata","Arctogalidia trivirgata",2250,22.771,529.45,NA,5876.5,841.82,1095,NA,840,45.654,NA,2.5,2,182.375,NA,60.872,NA,1825,1.656,NA,0,1,NA,NA,20,60,20,20,40,20,0,0,0,20,0,0,0,4,2,"Ar",1,0,0,1,0,2100,0,2100,1,"Occurs on mainland",1,0,"Indomalayan",1,"arctogalidia_trivirgata",0.810930216216329,0,0,0,0,0
"163","Carnivora","Mustelidae","Arctonyx","collaris","Arctonyx collaris","Arctonyx collaris",10500,51.178,695.11,NA,5767,NA,402.682,NA,365,42.89,6,3,1.689,229.196,58,104.091,NA,1798.679,3.863,NA,1,1,NA,NA,50,20,30,50,10,10,0,0,0,10,0,0,20,2,2,"G",1,0,0,1,0,2300,0,2300,0,"Occurs on mainland",1,0,"Indomalayan",2,"arctonyx_collaris",2.35137525716348,0,0,0,0,0
"164","Chiroptera","Phyllostomidae","Ardops","nichollsi","Ardops nichollsi","Ardops nichollsi",19.23,0.61,68.744,48.56,6349.657,NA,301.337,NA,417.834,113.7,NA,0.995,2,231.946,2.52,47.39,NA,1915.937,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,1,"Occurs only on isolated islands",0,0,"Neotropical",2,"ardops_nichollsi",-3.95128371938145,1,1,0,3,1
"165","Chiroptera","Vespertilionidae","Arielulus","aureocollaris","Arielulus aureocollaris","Arielulus aureocollaris",14.5,0.354,78.215,NA,6530.284,NA,431.745,NA,500.069,80.729,NA,1.42,1.005,364.537,NA,44.293,NA,2056.42,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2000,NA,NA,NA,"Occurs on mainland",NA,NA,"Indomalayan",1,"arielulus_aureocollaris",-4.23360662955561,1,0,1,1,3
"166","Chiroptera","Vespertilionidae","Arielulus","cuprosus","Arielulus cuprosus","Arielulus cuprosus",6.91,0.207,62.692,35.49,5919.695,NA,389.157,NA,449.746,69.997,NA,1.482,1.008,364.585,NA,42.2,NA,1977.52,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1784,0,1784,NA,"Occurs on large land bridge islands",NA,NA,"Indomalayan",1,"arielulus_cuprosus",-4.97478564120256,1,0,1,1,3
"167","Chiroptera","Phyllostomidae","Ariteus","flavescens","Ariteus flavescens","Ariteus flavescens",10.09,0.461,63.028,40.5,5765.709,NA,359.493,NA,480.796,113.74,NA,0.993,1.861,243.716,NA,46.616,NA,2027.831,NA,NA,0,2,NA,NA,40,0,60,40,0,0,0,0,0,60,0,0,0,2,2,"Ar",1,0,0,0,1,1500,0,1500,1,"Occurs only on isolated islands",0,0,"Neotropical",2,"ariteus_flavescens",-4.59621044461662,0,0,0,0,0
"168","Chiroptera","Phyllostomidae","Artibeus","aequatorialis","Artibeus aequatorialis","Artibeus jamaicensis",46.1,0.93,93,60.34,7014.083,333.22,288.37,365.28,440.57,106.54,NA,1,2,219.849,8.9,15,33.79,1920.478,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,1106,22,1084,NA,NA,NA,NA,"Neotropical",1,"artibeus_jamaicensis",-3.07694232897953,0,0,0,0,0
"169","Chiroptera","Phyllostomidae","Artibeus","amplus","Artibeus amplus","Artibeus amplus",61.04,1.141,92.325,70.5,6011.063,NA,383.434,NA,511.639,117.123,NA,1,1.826,238.248,NA,46.324,NA,2074.716,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,2630,25,2605,0,"Occurs on mainland",1,0,"Neotropical",1,"artibeus_amplus",-2.79622589200594,0,0,0,0,0
"170","Chiroptera","Phyllostomidae","Artibeus","concolor","Artibeus concolor","Artibeus concolor",19.675,0.633,71.683,47.34,5840.654,NA,352.735,NA,481.318,114.131,NA,0.989,1.89,238.343,NA,45.85,NA,2064.512,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,1,"Ar",1,0,0,0,1,1000,NA,NA,0,"Occurs on mainland",0,0,"Neotropical",1,"artibeus_concolor",-3.92840648467867,0,0,0,0,0
"171","Chiroptera","Phyllostomidae","Artibeus","fimbriatus","Artibeus fimbriatus","Artibeus fimbriatus",63.895,1.149,91.141,NA,5950.901,NA,392.648,NA,518.744,117.544,NA,0.992,1.801,237.943,NA,47.592,NA,2094.158,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",1,"artibeus_fimbriatus",-2.75051416792147,0,0,0,0,0
"172","Chiroptera","Phyllostomidae","Artibeus","fraterculus","Artibeus fraterculus","Artibeus fraterculus",45.65,0.947,93,56,7014.083,326.825,288.37,365.28,394.91,106.54,NA,1,2,219.849,8.9,15,33.79,1876.919,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",2,"artibeus_fraterculus",-3.08675167194116,0,0,0,0,0
"173","Chiroptera","Phyllostomidae","Artibeus","hirsutus","Artibeus hirsutus","Artibeus hirsutus",40.42,0.804,70,55.88,6227.931,NA,316.646,NA,445.714,112.195,NA,0.98,1.963,229.487,NA,36.594,NA,1948.277,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",3,"artibeus_hirsutus",-3.20843056700666,0,0,0,0,0
"174","Chiroptera","Phyllostomidae","Artibeus","inopinatus","Artibeus inopinatus","Artibeus inopinatus",18.99,0.582,72,50.49,6292.211,NA,299.353,NA,423.803,113.103,NA,0.993,1.988,225.879,NA,36.205,NA,1912.468,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,1000,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",3,"artibeus_inopinatus",-3.96384275415794,0,0,0,0,0
"175","Chiroptera","Phyllostomidae","Artibeus","lituratus","Artibeus lituratus","Artibeus lituratus",46.1,1.05,93,70.33,7014.083,326.825,288.37,365.28,394.91,106.54,NA,1,2,219.849,8.9,15,33.79,1878.836,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",2,"artibeus_lituratus",-3.07694232897953,0,0,0,0,0
"176","Chiroptera","Phyllostomidae","Artibeus","obscurus","Artibeus obscurus","Artibeus obscurus",45.65,0.994,93,NA,7014.083,326.825,288.37,365.28,394.91,106.54,NA,1,2,219.849,8.9,15,33.79,1879.597,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,500,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",2,"artibeus_obscurus",-3.08675167194116,0,0,0,0,0
"177","Chiroptera","Phyllostomidae","Artibeus","planirostris","Artibeus planirostris","Artibeus planirostris",47,0.93,93,60.34,7014.083,333.22,288.37,365.28,440.57,106.54,NA,1,2,219.849,8.9,15,33.79,1920.478,NA,NA,0,2,NA,NA,20,0,80,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,NA,"Occurs on mainland",NA,NA,"Neotropical",2,"artibeus_planirostris",-3.05760767727208,0,0,0,0,0
"178","Chiroptera","Phyllostomidae","Artibeus","schwartzi","Artibeus schwartzi","Artibeus schwartzi",46.1,0.93,93,60.34,7014.083,333.22,288.37,365.28,440.57,106.54,NA,1,2,219.849,8.9,15,33.79,1920.478,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,120,NA,NA,NA,"Occurs on large land bridge islands",NA,NA,"Neotropical",1,"artibeus_schwartzi",-3.07694232897953,0,0,0,0,0
"179","Rodentia","Muridae","Arvicanthis","abyssinicus","Arvicanthis abyssinicus","Arvicanthis abyssinicus",73.34,1.433,204,NA,848.625,NA,100.753,NA,128.639,27.177,NA,3.679,3.3,41.781,NA,25.555,NA,587.808,0.252,2000,0,1,NA,NA,0,0,100,0,0,0,0,0,0,0,0,30,70,2,1,"G",2,0,0,1,0,3800,1600,2200,0,"Occurs on mainland",1,0,"Afrotropical",2,"arvicanthis_abyssinicus",-2.61264911633896,0,1,0,2,0
"180","Rodentia","Muridae","Arvicanthis","niloticus","Arvicanthis niloticus","Arvicanthis niloticus",95.8,1.33,204,NA,2445.5,51.89,51.89,45,60,22,NA,5,3.5,32.228,4.15,22.827,21.7,751.795,0.292,7309.52,0,1,NA,NA,0,0,100,0,0,0,0,0,0,0,0,30,70,2,1,"G",2,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",1,0,"Afrotropical, Palearctic",5,"arvicanthis_niloticus",-2.34549259400532,0,1,0,2,0
"181","Rodentia","Cricetidae","Arvicola","amphibius","Arvicola amphibius","Arvicola amphibius",108.75,1.64,206.785,NA,1825,48.43,51,45,365,21.24,NA,5.08,3.22,26.982,5.29,14,42,656.087,0.313,57067.85,0,1,NA,NA,0,0,100,0,0,0,0,0,0,20,0,0,80,2,2,"G",2,1,0,1,0,3210,0,3210,0,"Occurs on mainland",1,1,"Palearctic",5,"arvicola_amphibius",-2.21870360901334,0,1,0,2,0
"182","Rodentia","Cricetidae","Arvicola","sapidus","Arvicola sapidus","Arvicola sapidus",120,1.499,220,NA,1825,48.109,51.218,45,72.828,21.61,NA,5.04,3.21,31.978,5.86,14.761,42,594.568,0.33,NA,0,1,NA,NA,0,0,100,0,0,0,0,0,0,20,0,0,80,2,1,"G",2,1,0,1,0,2300,0,2300,0,"Occurs on mainland",1,0,"Palearctic",1,"arvicola_sapidus",-2.12026353620009,0,1,0,2,0
"183","Chiroptera","Hipposideridae","Asellia","arabica","Asellia arabica","Asellia tridens",10,0.24,56,51.33,6218.808,730.5,730.5,730.5,796.6,66.1,NA,1,1,365,NA,80.88,NA,2725.936,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,0,NA,NA,NA,NA,NA,"Afrotropical",1,"asellia_tridens",-4.60517018598809,1,0,1,1,3
"184","Chiroptera","Hipposideridae","Aselliscus","stoliczkanus","Aselliscus stoliczkanus","Aselliscus stoliczkanus",6.09,0.15,58.433,41.49,5616.185,NA,618.885,NA,712.987,97.961,NA,1.013,1.012,364.619,NA,61.867,NA,2296.201,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,"Occurs on mainland",1,0,"Indomalayan, Palearctic",1,"aselliscus_stoliczkanus",-5.10110719726033,1,0,1,1,3
"185","Chiroptera","Hipposideridae","Aselliscus","tricuspidatus","Aselliscus tricuspidatus","Aselliscus tricuspidatus",4.08,0.134,57.882,40.5,5324.71,NA,589.038,NA,704.16,106.218,NA,0.99,1.058,363.171,NA,68.042,NA,2186.98,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,600,0,600,1,"Occurs on large land bridge islands",0,0,"Australasian",2,"aselliscus_tricuspidatus",-5.50165829056607,1,0,1,1,3
"186","Eulipotyphla","Erinaceidae","Atelerix","albiventris","Atelerix albiventris","Atelerix albiventris",450,1.907,230,NA,4161,116.45,84.154,NA,151.945,35.495,NA,4.49,1,271.668,10,44,NA,1335.158,0.683,NA,1,1,NA,NA,20,50,30,20,10,30,0,10,0,20,0,0,10,3,2,"G",1,0,0,1,0,NA,NA,NA,NA,"Occurs on mainland",NA,NA,"Afrotropical",2,"atelerix_albiventris",-0.798507696217772,0,0,0,0,0
"187","Eulipotyphla","Erinaceidae","Atelerix","algirus","Atelerix algirus","Atelerix algirus",824.49,3.2,232.38,NA,2555,NA,300.825,NA,338.778,39.408,NA,3.75,2,173.635,NA,40.09,NA,1038.309,0.953,NA,1,1,NA,NA,20,50,30,20,10,30,0,10,0,20,0,0,10,3,2,"G",1,0,0,1,0,900,0,900,0,"Occurs on mainland",1,0,"Palearctic",4,"atelerix_algirus",-0.1929902656188,0,0,0,0,0
"188","Eulipotyphla","Erinaceidae","Atelerix","frontalis","Atelerix frontalis","Atelerix frontalis",319.06,2.708,215.91,NA,2518.5,411.43,388.331,NA,425.462,37.131,6,5.195,1.5,182.455,10.52,35.205,NA,1024.811,0.566,NA,1,1,NA,1,20,50,30,20,10,30,0,10,0,20,0,0,10,3,2,"G",1,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Afrotropical",4,"atelerix_frontalis",-1.14237610610929,0,0,0,0,0
"189","Primates","Atelidae","Ateles","belzebuth","Ateles belzebuth","Ateles belzebuth",6692.42,118.454,547.15,NA,13505,1643.5,1461,1826,1826,140.919,NA,1,0.3,1094.251,NA,647.559,NA,5475,3.016,12.517,0,2,2.28,14.5,10,10,80,10,0,0,0,10,0,60,0,10,10,1,1,"Ar",3,0,0,1,0,NA,NA,NA,NA,"Occurs on mainland",NA,NA,"Neotropical",1,"ateles_belzebuth",1.90097554266143,0,0,0,0,0
"190","Primates","Atelidae","Ateles","fusciceps","Ateles fusciceps","Ateles fusciceps",7267.5,112.188,489.15,NA,17520,1799.68,1812.34,1826,1773.9,227,NA,1,0.5,925.366,425.925,598.516,2000,5475,3.155,NA,0,2,NA,NA,10,10,80,10,0,0,0,10,0,60,0,10,10,1,1,"Ar",3,0,0,1,0,NA,NA,NA,NA,"Occurs on mainland",NA,NA,"Neotropical",1,"ateles_fusciceps",1.98341235345089,0,0,0,0,0
"191","Primates","Atelidae","Ateles","geoffroyi","Ateles geoffroyi","Ateles geoffroyi",7267.5,106.638,534.035,NA,17520,2104.57,1964.785,1826,2080.5,229.185,NA,1,0.32,1008.384,426,818.675,2000,5475,3.155,30.627,0,2,0.73,42,10,10,80,10,0,0,0,10,0,60,0,10,10,1,1,"Ar",3,0,0,1,0,NA,NA,NA,NA,"Occurs on mainland",NA,NA,"Neotropical",1,"ateles_geoffroyi",1.98341235345089,0,0,0,0,0
"192","Primates","Atelidae","Ateles","paniscus","Ateles paniscus","Ateles paniscus",7887.5,103.712,605.48,NA,16790,2104.57,1665.762,1280,1825,228.18,NA,1,0.5,1071.356,461.67,795.901,3790,5475,3.301,6.764,0,2,1.36,20,10,10,80,10,0,0,0,10,0,60,0,10,10,1,1,"Ar",3,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Neotropical",1,"ateles_paniscus",2.06527922786733,0,0,0,0,0
"193","Carnivora","Canidae","Atelocynus","microtis","Atelocynus microtis","Atelocynus microtis",9500,64.418,915.505,NA,4343.5,NA,358.885,NA,365,62.175,NA,3.804,1.485,268.4,NA,78.961,NA,1455.255,3.656,NA,0,1,NA,1,0,80,20,0,80,0,0,0,0,0,0,0,20,2,2,"G",1,0,0,1,0,2000,NA,NA,0,"Occurs on mainland",0,0,"Neotropical",2,"atelocynus_microtis",2.2512917986065,0,0,0,0,0
"194","Rodentia","Hystricidae","Atherurus","africanus","Atherurus africanus","Atherurus africanus",2875.65,21.885,500.495,NA,8364.583,NA,579.171,NA,692.799,106.526,NA,1.5,2.5,191.96,148.13,45.37,NA,2399.4,1.895,0.6,0,2,0.12,1,0,0,100,0,0,0,0,0,0,20,0,0,80,2,2,"G",1,0,0,1,0,3000,NA,NA,0,"Occurs on mainland",0,0,"Afrotropical",2,"atherurus_africanus",1.05627873565203,0,1,0,2,0
"195","Rodentia","Hystricidae","Atherurus","macrourus","Atherurus macrourus","Atherurus macrourus",2000,21.601,570,NA,4948.792,NA,344.506,NA,430.403,107.341,NA,1.585,1.947,161.561,NA,77.263,NA,1724.243,1.552,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,20,0,0,80,2,2,"G",1,0,0,1,0,NA,NA,NA,NA,"Occurs on mainland",NA,NA,"Indomalayan, Palearctic",1,"atherurus_macrourus",0.693147180559945,0,1,0,2,0
"196","Carnivora","Herpestidae","Atilax","paludinosus","Atilax paludinosus","Atilax paludinosus",3300,29.508,559.505,NA,7592,234.83,234.83,255,311.465,76,4,2,2,182.375,100,36,550,2228.518,2.044,NA,0,1,1.73,NA,40,60,0,40,30,20,10,0,0,0,0,0,0,3,2,"G",2,1,0,1,0,3950,0,3950,0,"Occurs on mainland",1,0,"Afrotropical",5,"atilax_paludinosus",1.19392246847243,0,0,1,0,2
"197","Rodentia","Sciuridae","Atlantoxerus","getulus","Atlantoxerus getulus","Atlantoxerus getulus",250.57,3.924,189.1,NA,3285,NA,303.97,NA,344.133,56.772,NA,2.32,1.771,112.335,NA,45.046,NA,1226.042,0.495,NA,0,1,NA,NA,0,0,100,0,0,0,0,0,0,50,0,50,0,2,1,"G",2,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",1,0,"Palearctic",3,"atlantoxerus_getulus",-1.38401695637585,0,1,0,2,0
"198","Eulipotyphla","Solenodontidae","Atopogale","cubana","Atopogale cubana","Solenodon cubanus",912.31,6.342,337.425,NA,2372.5,NA,335.273,NA,379.135,63.066,2,1.5,3,176.451,NA,58.424,NA,1206.589,1.008,NA,0,2,NA,1,30,30,40,30,10,20,0,0,0,20,0,0,20,4,2,"G",1,0,0,1,0,800,400,400,NA,"Occurs only on isolated islands",NA,NA,"Neotropical",1,"solenodon_cubanus",-0.0917754343841954,0,0,0,0,0
"199","Rodentia","Cricetidae","Auliscomys","boliviensis","Auliscomys boliviensis","Auliscomys boliviensis",73.855,1.171,145,NA,1110.972,NA,79.61,NA,107.716,28.646,NA,3.4,3.604,32.946,NA,24.008,NA,526.471,0.253,NA,0,1,NA,NA,50,0,50,50,0,0,0,0,0,0,0,0,50,2,1,"G",1,0,0,1,0,4770,3450,1320,0,"Occurs on mainland",1,0,"Neotropical",2,"auliscomys_boliviensis",-2.60565156748957,0,0,0,0,0
"200","Rodentia","Cricetidae","Auliscomys","pictus","Auliscomys pictus","Auliscomys pictus",48.97,0.943,147,NA,1168.784,NA,72.431,NA,102.248,27.981,NA,3.756,3.927,30.766,NA,23.593,NA,502.108,0.202,232.95,0,1,NA,NA,50,0,50,50,0,0,0,0,0,0,0,0,50,2,1,"G",1,0,0,1,0,4900,3400,1500,0,"Occurs on mainland",1,0,"Neotropical",4,"auliscomys_pictus",-3.01654741326791,0,0,0,0,0
"201","Rodentia","Cricetidae","Auliscomys","sublimis","Auliscomys sublimis","Auliscomys sublimis",38,0.829,125,NA,1022.782,NA,68.991,NA,98.647,26.064,NA,3.753,3.626,27.901,NA,23.125,NA,449.053,0.175,NA,0,1,NA,NA,50,0,50,50,0,0,0,0,0,0,0,0,50,2,1,"G",1,0,0,1,0,5500,3800,1700,0,"Occurs on mainland",1,0,"Neotropical",2,"auliscomys_sublimis",-3.27016911925575,0,0,0,0,0
"202","Primates","Indriidae","Avahi","laniger","Avahi laniger","Avahi laniger",1093.355,10.49,362.5,NA,9144.442,873.924,873.924,NA,941.7,136.556,2,1.005,1,364.75,32.97,155.687,NA,3041.404,1.113,55.617,0,2,0.01,2,0,0,100,0,0,0,0,0,0,20,0,0,80,2,1,"Ar",1,0,0,1,0,NA,NA,NA,1,"Occurs only on isolated islands",0,0,"Afrotropical",1,"avahi_laniger",0.0892509506047579,0,1,0,2,0
"203","Primates","Indriidae","Avahi","occidentalis","Avahi occidentalis","Avahi occidentalis",1092.28,12.631,362.5,NA,9022.571,873.924,873.924,NA,1010.48,136.556,NA,1.01,1,364.75,32.97,155.687,NA,3075.549,1.113,67,0,2,0.01,3,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,"Ar",1,0,0,1,0,NA,NA,NA,1,"Occurs only on isolated islands",0,0,"Afrotropical",1,"avahi_occidentalis",0.0882672547116319,1,1,0,3,1
"204","Primates","Indriidae","Avahi","unicolor","Avahi unicolor","Avahi unicolor",830,12.181,360.502,NA,8566.284,NA,738.025,NA,873.957,140.228,NA,1.061,1.037,363.944,NA,141.295,NA,2988.38,0.957,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,"Ar",1,0,0,1,0,1600,0,1600,NA,"Occurs only on isolated islands",NA,NA,"Afrotropical",1,"avahi_unicolor",-0.186329578191493,1,1,0,3,1
"205","Cetartiodactyla","Cervidae","Axis","axis","Axis axis","Axis axis",45500,166.897,1750,NA,7592,543.68,654.84,913,913,226.745,NA,1.03,1.01,425.623,3150.43,121.872,NA,3650,8.654,8.595,0,1,0.67,NA,0,0,100,0,0,0,0,0,0,10,0,0,90,1,1,"G",2,0,0,1,0,1100,0,1100,0,"Occurs on mainland",0,0,"Indomalayan",3,"axis_axis",3.8177123259569,1,1,0,3,1
"206","Cetartiodactyla","Cervidae","Axis","porcinus","Axis porcinus","Axis porcinus",37448.29,119.433,1750,NA,8358.5,464.04,304.36,NA,421,226.748,NA,1,1.076,347.056,2483.33,182.308,NA,2555,7.775,7.165,0,1,0.52,1.8,0,0,100,0,0,0,0,0,0,10,0,0,90,1,1,"G",2,1,0,1,0,NA,NA,NA,0,"Occurs on mainland",0,0,"Indomalayan",2,"axis_porcinus",3.62296104803956,1,1,0,3,1
"207","Cetartiodactyla","Suidae","Babyrousa","babyrussa","Babyrousa babyrussa","Babyrousa babyrussa",92950.09,127,1007.5,NA,8760,362.5,547.848,548,517.25,156.5,4,1.4,2,300.995,715,213,NA,2958.591,12.819,NA,0,1,NA,4.5,0,0,100,0,0,0,0,0,0,40,0,0,60,2,1,"G",3,1,0,1,0,NA,NA,NA,1,"Occurs only on isolated islands",0,0,"Indomalayan",2,"babyrousa_babyrussa",4.53206268242949,0,1,0,2,0
"208","Cetartiodactyla","Suidae","Babyrousa","celebensis","Babyrousa celebensis","Babyrousa celebensis",92950.09,132.814,1007.5,NA,8760,547.924,547.848,548,548,156.5,NA,1.4,2,302.917,715,213,NA,2190,12.819,NA,0,1,NA,NA,10,10,80,10,0,0,0,10,0,20,0,0,60,2,1,"G",3,1,0,1,0,NA,NA,NA,NA,"Occurs only on isolated islands",NA,NA,"Indomalayan",2,"babyrousa_celebensis",4.53206268242949,0,0,0,0,0
"209","Chiroptera","Vespertilionidae","Baeodon","alleni","Baeodon alleni","Rhogeessa alleni",5.37,0.223,57.79,32.49,6309.922,NA,383.202,NA,454.13,73.331,NA,1.602,1.005,363.757,NA,46.217,NA,1990.726,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1990,125,1865,0,"Occurs on mainland",1,0,"Neotropical",1,"rhogeessa_alleni",-5.22692737046136,1,0,1,1,3
"210","Chiroptera","Vespertilionidae","Baeodon","gracilis","Baeodon gracilis","Rhogeessa gracilis",5.14,0.217,57.003,32,5934.774,NA,376.991,NA,444.785,75.317,NA,1.615,1.009,363.802,NA,46.804,NA,1908.017,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2000,600,1400,0,"Occurs on mainland",1,0,"Neotropical",1,"rhogeessa_gracilis",-5.27070219951506,1,0,1,1,3
"211","Rodentia","Cricetidae","Baiomys","musculus","Baiomys musculus","Baiomys musculus",8.99,0.478,78.295,NA,1390.379,NA,72.482,NA,94.56,24.785,NA,2.62,4.55,29.661,1.66,22.056,NA,451.568,0.079,NA,0,1,NA,NA,10,0,90,10,0,0,0,0,0,0,0,10,80,1,2,"G",2,0,0,1,0,2000,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",4,"baiomys_musculus",-4.71164243049861,0,0,0,0,0
"212","Rodentia","Cricetidae","Baiomys","taylori","Baiomys taylori","Baiomys taylori",7.43,0.46,72.45,NA,1307.917,68.35,59.35,75,81.5,21.99,NA,2.67,10,23.484,1.16,20.696,3.595,405.053,0.072,2464.99,1,1,0,NA,10,0,90,10,0,0,0,0,0,0,0,10,80,1,1,"G",2,0,0,1,0,2438,NA,NA,0,"Occurs on mainland",1,0,"Nearctic, Neotropical",4,"baiomys_taylori",-4.90222942025247,0,0,0,0,0
"213","Cetartiodactyla","Balaenidae","Balaena","mysticetus","Balaena mysticetus","Balaena mysticetus",8e+07,6042.615,13593.56,NA,77015,6041.21,6391.56,8212,8599.95,379.9,NA,1,0.3,1641.376,9e+05,352,NA,18980,NA,NA,0,1,NA,5,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"M",2,0,1,0,0,NA,NA,NA,NA,"Exclusively marine",NA,NA,"Nearctic, Palearctic",2,"balaena_mysticetus",11.289781913656,1,0,1,1,3
